date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:31	185/185	---M-Z	200	added ('OK')	text/plain	etag:%22c6de94c07753d81:0%22	https://www.edwardwomac.com/robots.txt		(from )
17:50:31	85248/85248	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2020:50:31%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/index.html	(from )
17:50:32	5237/5237	---M--	200	added ('OK')	image/png	etag:%227222fdec93f9d61:0%22	https://www.edwardwomac.com/images/logos/Logo.png	C:/Os%20meus%20Sites/49/www.edwardwomac.com/images/logos/Logo.png	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:33	442488/442488	---M-Z	200	added ('OK')	text/css	etag:%22a8fc8607353d91:0%22	https://www.edwardwomac.com/cms/includes/zah5dzqnqgu.2303100911381.css	C:/Os%20meus%20Sites/49/www.edwardwomac.com/cms/includes/zah5dzqnqgu.2303100911381.css	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:34	175/175	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2020:50:33%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/admin/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/admin/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:34	175/175	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2020:50:33%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/usc/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/usc/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:34	175/175	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2020:50:33%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/cms/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/cms/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:35	5601/5601	---M--	200	added ('OK')	image/png	etag:%225f6cffec93f9d61:0%22	https://www.edwardwomac.com/images/logos/Logo2.png	C:/Os%20meus%20Sites/49/www.edwardwomac.com/images/logos/Logo2.png	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:36	100771/100771	---M--	200	added ('OK')	image/jpeg	etag:%22a71173674868d71:0%22	https://www.edwardwomac.com/assets/panel-groups/panel-group-v5-bg-mobile.jpg	C:/Os%20meus%20Sites/49/www.edwardwomac.com/assets/panel-groups/panel-group-v5-bg-mobile.jpg	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:36	71878/71878	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2020:50:35%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/distracted-drivers/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/distracted-drivers/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:36	78299/78299	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2020:50:35%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:36	72468/72468	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2020:50:35%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:37	144310/144310	---M--	200	added ('OK')	image/jpeg	etag:%22adeb794a4868d71:0%22	https://www.edwardwomac.com/assets/panel-groups/panel-group-v5-bg-tablet.jpg	C:/Os%20meus%20Sites/49/www.edwardwomac.com/assets/panel-groups/panel-group-v5-bg-tablet.jpg	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:38	223691/223691	---M--	200	added ('OK')	image/jpeg	etag:%225f54cb6c5c4bd71:0%22	https://www.edwardwomac.com/assets/panel-groups/panel-group-v5-bg.jpg	C:/Os%20meus%20Sites/49/www.edwardwomac.com/assets/panel-groups/panel-group-v5-bg.jpg	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:39	359723/359723	---M--	200	added ('OK')	image/jpeg	etag:%225617625b4968d71:0%22	https://www.edwardwomac.com/assets/footers/footer-v4-bg-mobile.jpg	C:/Os%20meus%20Sites/49/www.edwardwomac.com/assets/footers/footer-v4-bg-mobile.jpg	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:40	159720/159720	---M--	200	added ('OK')	image/jpeg	etag:%2213d0fec5a31ad71:0%22	https://www.edwardwomac.com/assets/footers/footer-v4-bg.jpg	C:/Os%20meus%20Sites/49/www.edwardwomac.com/assets/footers/footer-v4-bg.jpg	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:40	1182/1182	---M-Z	200	added ('OK')	application/javascript	etag:%229ea411b8db4bd91:0%22	https://www.edwardwomac.com/common/usc/p/video.js	C:/Os%20meus%20Sites/49/www.edwardwomac.com/common/usc/p/video.js	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:41	73864/73864	---M-Z	200	added ('OK')	application/javascript	etag:%2255e013f01859d91:0%22	https://www.edwardwomac.com/cms/includes/eexzpgh7dg_.2303171439226.js	C:/Os%20meus%20Sites/49/www.edwardwomac.com/cms/includes/eexzpgh7dg_.2303171439226.js	(from https://www.edwardwomac.com/personal-injury/car-accidents/)
17:50:43	164270/164270	---M--	200	added ('OK')	image/png	etag:%2220b485d652ed51:0%22	https://www.edwardwomac.com/common/images/sprite24.png	C:/Os%20meus%20Sites/49/www.edwardwomac.com/common/images/sprite24.png	(from https://www.edwardwomac.com/cms/includes/zah5dzqnqgu.2303100911381.css)
17:50:45	442296/442296	---M-Z	200	added ('OK')	text/css	etag:%22a8fc8607353d91:0%22	https://www.edwardwomac.com/cms/includes/_1tl03i85xl.2303100911381.css	C:/Os%20meus%20Sites/49/www.edwardwomac.com/cms/includes/_1tl03i85xl.2303100911381.css	(from https://www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/)
